,name,element,team_name,total_points,value,ict_index,minutes,position,away1,away_odds1,draw_odds1,home1,home_odds1,is_home1,away2,away_odds2,draw_odds2,home2,home_odds2,is_home2,win_odds1,win_odds2,agg_win_odds,games_played,scaled_points,next_gw,points_weighted,next_opp,surname
15,Admiral Muskwe,327,Luton,0,45,0.0,0,FWD,Luton,0.21854633926507738,0.2518373543499551,Crystal Palace,0.5296163063849675,False,Luton,0.17311169639643578,0.21255434749191165,Bournemouth,0.6143339561116526,False,0.21854633926507738,0.17311169639643578,0.3538251081301046,0.0,0.0,24,0.14153004325204185,Crystal Palace,Muskwe
16,Adrián San Miguel del Castillo,289,Liverpool,0,39,0.0,0,GK,Manchester City,0.4200876412457042,0.25834133952362737,Liverpool,0.32157101923066844,True,,,,,,,0.32157101923066844,,0.32157101923066844,0.0,0.0,24,0.19294261153840106,Manchester City,Castillo
17,Aidan Francis-Clarke,648,Luton,0,40,0.0,0,DEF,Luton,0.21854633926507738,0.2518373543499551,Crystal Palace,0.5296163063849675,False,Luton,0.17311169639643578,0.21255434749191165,Bournemouth,0.6143339561116526,False,0.21854633926507738,0.17311169639643578,0.3538251081301046,0.0,0.0,24,0.21229506487806274,Crystal Palace,Francis-Clarke
18,Albert Sambi Lokonga,21,Luton,28,49,1.2,874,MID,Luton,0.21854633926507738,0.2518373543499551,Crystal Palace,0.5296163063849675,False,Luton,0.17311169639643578,0.21255434749191165,Bournemouth,0.6143339561116526,False,0.21854633926507738,0.17311169639643578,0.3538251081301046,9.71111111111111,0.16091954022988506,24,0.2380817673899729,Crystal Palace,Lokonga
19,Alejandro Garnacho,382,Manchester Utd,83,50,5.480769230769231,1593,MID,Everton,0.226902211754237,0.24810962311669515,Manchester Utd,0.524988165129068,True,,,,,,,0.524988165129068,,0.524988165129068,17.7,0.47701149425287354,24,0.4962021626033513,Everton,Garnacho
20,Alejo Véliz,641,Tottenham,11,54,0.25,45,FWD,Tottenham,0.35891431503403204,0.24259776795364635,Aston Villa,0.39848791701232167,False,,,,,,,0.35891431503403204,,0.35891431503403204,0.5,0.06321839080459771,24,0.18149676049637142,Aston Villa,Véliz
21,Aleksandar Mitrović,278,Fulham,1,74,0.12692307692307692,32,FWD,Fulham,0.33243164099720396,0.28075100971499073,Wolves,0.3868173492878053,False,,,,,,,0.33243164099720396,,0.33243164099720396,0.35555555555555557,0.005747126436781609,24,0.13642093226095056,Wolves,Mitrović
22,Alex Iwobi,256,Fulham,57,53,3.6884615384615387,1358,MID,Fulham,0.33243164099720396,0.28075100971499073,Wolves,0.3868173492878053,False,,,,,,,0.33243164099720396,,0.33243164099720396,15.088888888888889,0.3275862068965517,24,0.3295243805368126,Wolves,Iwobi
23,Alex Matos,718,Chelsea,1,45,0.0,1,MID,Newcastle,0.25868909632116915,0.2342165724654265,Chelsea,0.5070943312134042,True,,,,,,,0.5070943312134042,,0.5070943312134042,0.011111111111111112,0.005747126436781609,24,0.20628600834743066,Newcastle,Matos
24,Alex Mighten,456,Nottingham,0,44,0.0,0,MID,Nottingham,0.2249721702899278,0.24275278213157858,Brighton,0.5322750475784934,False,,,,,,,0.2249721702899278,,0.2249721702899278,0.0,0.0,24,0.08998886811597112,Brighton,Mighten
25,Alex Murphy,634,Newcastle,1,39,0.0,3,DEF,Newcastle,0.25868909632116915,0.2342165724654265,Chelsea,0.5070943312134042,False,,,,,,,0.25868909632116915,,0.25868909632116915,0.03333333333333333,0.005747126436781609,24,0.15751230836741414,Chelsea,Murphy
26,Alex Scott,644,Bournemouth,26,49,1.1520000000000001,603,MID,Sheffield Utd,0.11649697127261614,0.18193990401511137,Bournemouth,0.7015631247122724,True,Luton,0.17311169639643578,0.21255434749191165,Bournemouth,0.6143339561116526,True,0.7015631247122724,0.6143339561116526,0.884903030957382,6.7,0.14942528735632185,24,0.4436163847967459,Sheffield Utd,Scott
27,Alex Telles,370,Manchester Utd,0,45,0.0,0,DEF,Everton,0.226902211754237,0.24810962311669515,Manchester Utd,0.524988165129068,True,,,,,,,0.524988165129068,,0.524988165129068,0.0,0.0,24,0.31499289907744077,Everton,Telles
28,Alexander Isak,415,Newcastle,87,75,4.553846153846154,1247,FWD,Newcastle,0.25868909632116915,0.2342165724654265,Chelsea,0.5070943312134042,False,,,,,,,0.25868909632116915,,0.25868909632116915,13.855555555555556,0.5,24,0.4034756385284677,Chelsea,Isak
