,index,name,element,team_name,total_points,value,ict_index,minutes,position,away1,away_odds1,draw_odds1,home1,home_odds1,is_home1,away2,away_odds2,draw_odds2,home2,home_odds2,is_home2,win_odds1,win_odds2,agg_win_odds,games_played,scaled_points,next_gw,points_weighted,next_opp,surname,initial_team,picked,captain
454,454,Kaide Gordon,783,Liverpool,1,45,0.04285714285714286,1,MID,Manchester City,0.4213459142169942,0.2577282115129626,Liverpool,0.3209258742700432,True,0,0.0,0.0,0,0.0,0,0.3209258742700432,0.0,0.3209258742700432,0.011111111111111112,0.005747126436781609,28,0.13181862557008625,Manchester City,Gordon,0.0,0.0,0
455,455,Kaine Kesler-Hayden,793,Aston Villa,0,40,0.0,0,DEF,Tottenham,0.3587572114190153,0.24154588464894827,Aston Villa,0.3996969039320364,True,0,0.0,0.0,0,0.0,0,0.3996969039320364,0.0,0.3996969039320364,0.0,0.0,28,0.23981814235922183,Tottenham,Kesler-Hayden,0.0,0.0,0
456,456,Kalvin Phillips,364,West Ham,7,47,0.324,313,MID,Burnley,0.18922937545744947,0.23949318090901806,West Ham,0.5712774436335324,True,0,0.0,0.0,0,0.0,0,0.5712774436335324,0.0,0.5712774436335324,3.477777777777778,0.040229885057471264,28,0.25264890848789573,Burnley,Phillips,0.0,0.0,0
457,457,Kaoru Mitoma,143,Brighton,74,64,5.153846153846154,1485,MID,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,16.5,0.42528735632183906,28,0.46878250896931817,Nottingham,Mitoma,0.0,0.0,0
458,458,Karl Darlow,408,Newcastle,0,40,0.0,0,GK,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,False,0,0.0,0.0,0,0.0,0,0.2590882886422773,0.0,0.2590882886422773,0.0,0.0,28,0.15545297318536636,Chelsea,Darlow,0.0,0.0,0
459,459,Karl Hein,646,Arsenal,0,40,0.0,0,GK,Brentford,0.07133864482157093,0.13979006080584494,Arsenal,0.7888712943725841,True,0,0.0,0.0,0,0.0,0,0.7888712943725841,0.0,0.7888712943725841,0.0,0.0,28,0.47332277662355043,Brentford,Hein,0.0,0.0,0
460,460,Keane Lewis-Potter,107,Brentford,42,47,1.9423076923076923,815,MID,Brentford,0.07133864482157093,0.13979006080584494,Arsenal,0.7888712943725841,False,0,0.0,0.0,0,0.0,0,0.07133864482157093,0.0,0.07133864482157093,9.055555555555555,0.2413793103448276,28,0.17336304413552495,Arsenal,Lewis-Potter,0.0,0.0,0
461,461,Keinan Davis,39,Aston Villa,0,49,0.0,0,FWD,Tottenham,0.3587572114190153,0.24154588464894827,Aston Villa,0.3996969039320364,True,0,0.0,0.0,0,0.0,0,0.3996969039320364,0.0,0.3996969039320364,0.0,0.0,28,0.15987876157281455,Tottenham,Davis,0.0,0.0,0
462,462,Kell Watts,431,Newcastle,0,40,0.0,0,DEF,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,False,0,0.0,0.0,0,0.0,0,0.2590882886422773,0.0,0.2590882886422773,0.0,0.0,28,0.15545297318536636,Chelsea,Watts,0.0,0.0,0
463,463,Kenny Tete,285,Fulham,23,44,1.103846153846154,670,DEF,Fulham,0.3310473138508762,0.2809023274614391,Wolves,0.38805035868768467,False,0,0.0,0.0,0,0.0,0,0.3310473138508762,0.0,0.3310473138508762,7.444444444444445,0.13218390804597702,28,0.2515019515289165,Wolves,Tete,0.0,0.0,0
464,464,Kepa Arrizabalaga,187,Chelsea,0,50,0.0,0,GK,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,True,0,0.0,0.0,0,0.0,0,0.5074521442066424,0.0,0.5074521442066424,0.0,0.0,28,0.3044712865239854,Newcastle,Arrizabalaga,0.0,0.0,0
465,465,Kevin De Bruyne,349,Manchester City,33,107,2.496153846153846,416,MID,Manchester City,0.4213459142169942,0.2577282115129626,Liverpool,0.3209258742700432,False,0,0.0,0.0,0,0.0,0,0.4213459142169942,0.0,0.4213459142169942,4.622222222222222,0.1896551724137931,28,0.28233146913507357,Liverpool,Bruyne,0.0,0.0,0
466,466,Kevin Mbabu,277,Fulham,0,40,0.0,0,DEF,Fulham,0.3310473138508762,0.2809023274614391,Wolves,0.38805035868768467,False,0,0.0,0.0,0,0.0,0,0.3310473138508762,0.0,0.3310473138508762,0.0,0.0,28,0.19862838831052573,Wolves,Mbabu,0.0,0.0,0
467,467,Kevin Schade,115,Brentford,19,52,0.5807692307692307,255,MID,Brentford,0.07133864482157093,0.13979006080584494,Arsenal,0.7888712943725841,False,0,0.0,0.0,0,0.0,0,0.07133864482157093,0.0,0.07133864482157093,2.8333333333333335,0.10919540229885058,28,0.09405269930793872,Arsenal,Schade,0.0,0.0,0
468,468,Ki-Jana Hoever,556,Wolves,0,40,0.0,0,DEF,Fulham,0.3310473138508762,0.2809023274614391,Wolves,0.38805035868768467,True,0,0.0,0.0,0,0.0,0,0.38805035868768467,0.0,0.38805035868768467,0.0,0.0,28,0.2328302152126108,Fulham,Hoever,0.0,0.0,0
